model_no;locale;brakujące_pole;wartość_z_ComUp;wartość_z_Comarch;status
1069RB-WS;;kamień spoza listy 8: Biały Szafir, Naturalne Diamenty;;;odrzucony
1057R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1056RD;;kamień spoza listy 8: Granat;;;odrzucony
1052RC;;kamień spoza listy 8: Rubin;;;odrzucony
1044RD;;kamień spoza listy 8: Niebieski szafir;;;odrzucony
1041RB;;kamień spoza listy 8: Granat;;;odrzucony
1040RC;;kamień spoza listy 8: Perla;;;odrzucony
1039RB;;kamień spoza listy 8: Perla;;;odrzucony
1035RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1033RB;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1033RA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1031RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1029RB;;kamień spoza listy 8: Sky topaz i białe szafiry;;;odrzucony
1026RB;;kamień spoza listy 8: Rubin;;;odrzucony
1025RD;;kamień spoza listy 8: Ametyst;;;odrzucony
1022RD-G;;kamień spoza listy 8: Granat;;;odrzucony
1022RD-P;;kamień spoza listy 8: Peridot;;;odrzucony
1022RD;;kamień spoza listy 8: Ametyst;;;odrzucony
1020RD;;kamień spoza listy 8: Rubin;;;odrzucony
1016RD;;kamień spoza listy 8: Ametyst;;;odrzucony
1016RB-RD;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1014RXD;;kamień spoza listy 8: Rubin;;;odrzucony
1011RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1008RXB;;kamień spoza listy 8: Dublet opal, sky topaz;;;odrzucony
1008RB;;kamień spoza listy 8: Dublet opal, swiss topaz;;;odrzucony
1008RA;;kamień spoza listy 8: dublet opal, sky topaz;;;odrzucony
1007RB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1007RA;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1006R;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1005RC;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1004RB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1003RB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1002RA;;kamień spoza listy 8: Niebieski szafir;;;odrzucony
982RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
980RB;;kamień spoza listy 8: Naturalny diament;;;odrzucony
980RA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
976RD;;kamień spoza listy 8: Granat;;;odrzucony
968RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
967RD;;kamień spoza listy 8: Naturalny diament;;;odrzucony
966RB;;kamień spoza listy 8: Dublet opal;;;odrzucony
956RD;;kamień spoza listy 8: Perła;;;odrzucony
955RB;;kamień spoza listy 8: Rubin;;;odrzucony
949RB;;kamień spoza listy 8: Dublet opal, swiss topaz;;;odrzucony
949RA;;kamień spoza listy 8: Dublet opal, sky topaz;;;odrzucony
948RC;;kamień spoza listy 8: Dublet opal;;;odrzucony
948RB;;kamień spoza listy 8: Rubin;;;odrzucony
946RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
945RC;;kamień spoza listy 8: Granat;;;odrzucony
943RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
940RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
936RB;;kamień spoza listy 8: Naturalny diament, czarny diament;;;odrzucony
934RYB;;kamień spoza listy 8: Rubin, biały szafir i niebieski szafir;;;odrzucony
932RD-R;;kamień spoza listy 8: Rubin;;;odrzucony
930RA;;kamień spoza listy 8: Brilliant;;;odrzucony
924RC;;kamień spoza listy 8: Czarny diament, granat;;;odrzucony
923RYB;;kamień spoza listy 8: Naturalny diament, czarny diament, biały szafir;;;odrzucony
923RA;;kamień spoza listy 8: Naturalny diament, czarny diament i biały szafir;;;odrzucony
922RYB;;kamień spoza listy 8: Natyralne diamenty, czarny diament;;;odrzucony
922RB;;kamień spoza listy 8: Naturalne diamenty, czarny diament;;;odrzucony
907RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
906R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
905RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
905RC;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
903R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
902R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
901R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
894RA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
886R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
885R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
874RA;;kamień spoza listy 8: Dublet opal;;;odrzucony
872RB;;kamień spoza listy 8: Naturalny diament/ dublet opal;;;odrzucony
872RA;;kamień spoza listy 8: Naturalny diament/ dublet opal;;;odrzucony
871RB;;kamień spoza listy 8: Naturalny diament/ dublet opal;;;odrzucony
871RA;;kamień spoza listy 8: Naturalny diament i dublet opal;;;odrzucony
866RB;;kamień spoza listy 8: Czarny diamend;;;odrzucony
848R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
826R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
825R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
824R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
823R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
822R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
821R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
786R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
769RB;;kamień spoza listy 8: Naturalny diament;;;odrzucony
766RSA;;kamień spoza listy 8: Spinel;;;odrzucony
766RHB;;kamień spoza listy 8: Hematyt;;;odrzucony
EvaStone Srebrny Pierścionek;;kamień spoza listy 8: Naturalny Diament;;;odrzucony
765RB;;kamień spoza listy 8: Ametyst;;;odrzucony
751RB;;kamień spoza listy 8: Naturalny diament;;;odrzucony
748RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
EvaStone Srebrny Pierścionek;;answer_summary en: 62 słów (cel 40–60);;;ostrzeżenie
738RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
721R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
659R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
658R;;kamień spoza listy 8: Peridot;;;odrzucony
638R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
631RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
629RB;;kamień spoza listy 8: Spektrolit;;;odrzucony
EvaStone Srebrny Pierrścionek;;kamień spoza listy 8: 5 naturalnych diamentów;;;odrzucony
620RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
EvaStone Srebrny Pierrścionek;;answer_summary en: 65 słów (cel 40–60);;;ostrzeżenie
589R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
587R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
586R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
EvaStone Srebrny Pierrścionek;;answer_summary en: 65 słów (cel 40–60);;;ostrzeżenie
EvaStone Srebrny Pierrścionek;;answer_summary en: 62 słów (cel 40–60);;;ostrzeżenie
EvaStone Srebrny Pierrścionek;;kamień spoza listy 8: Spektrolit;;;odrzucony
460R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
364R;;kamień spoza listy 8: Ametyst;;;odrzucony
351R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
350R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
312R;;kamień spoza listy 8: Naturalny Diament;;;odrzucony
304R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
287RB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
246R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
235RA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
234RBX;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
228R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
227R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
225R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
154R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
152R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
150RA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
146R;;kamień spoza listy 8: Śnieżny obsydian;;;odrzucony
143RA;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
110RXA;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
138R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
123R;;kamień spoza listy 8: Naturalny diament;;;odrzucony
102R;;kamień spoza listy 8: Perła;;;odrzucony
